sentence_id,original_text,original_label,gpt54mini_translation,translator,consensus_label,gemini_translation,claude_translation
62,House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly extreme views on abortion.,Biased,يستعد الجمهوريون في مجلس النواب لشنّ حملة مستمرة لكشف الديمقراطيين اليساريين في أغلبية مجلس النواب الديمقراطية بسبب آرائهم المتطرفة بشكل متزايد بشأن الإجهاض.,gpt,Biased,,
63,There is no evidence to support the allegation Pelosi was trying to include abortion funding in the coronavirus emergency bill as the Facebook post claims.,Non-biased,لا يوجد دليل يدعم الادعاء بأن بيلوسي كانت تحاول تضمين تمويل الإجهاض في مشروع قانون الطوارئ الخاص بفيروس كورونا كما يزعم منشور فيسبوك.,gpt,Non-biased,,
64,"The result was a mess: car manufacturers, which had already begun taking steps to comply with the Obama-era tough fuel-efficiency standards for the auto industry, faced the prospect of having to make different vehicles to sell in different parts of the country.",Biased,كانت النتيجة فوضى: واجهت شركات تصنيع السيارات، التي كانت قد بدأت بالفعل اتخاذ خطوات للامتثال لمعايير كفاءة الوقود الصارمة التي وُضعت في عهد أوباما لصناعة السيارات، احتمال الاضطرار إلى تصنيع مركبات مختلفة لبيعها في مناطق مختلفة من البلاد.,gpt,Biased,,
65,"White nationalism-fueled violence is on the rise, but FBI is slow to call it domestic terrorism.",Non-biased,العنف المدفوع بالقومية البيضاء آخذ في الارتفاع، لكن مكتب التحقيقات الفيدرالي بطيء في وصفه بالإرهاب المحلي.,gpt,Biased,,
67,"Alabama has the most restrictive abortion law in the U.S., banning abortion at any stage of pregnancy and for any reason, including in cases of rape and incest.",Non-biased,لدى ألاباما أكثر قوانين الإجهاض تقييدًا في الولايات المتحدة، إذ تحظر الإجهاض في أي مرحلة من مراحل الحمل ولأي سبب، بما في ذلك في حالات الاغتصاب وسفاح القربى.,gpt,Non-biased,,
68,Tensions between Trump and the messaging platform escalated last week after Twitter began to label some of his tweets with a fact-check. Trump responded with an executive order that threatens to curtail some legal protections enjoyed by social media companies.,Non-biased,تصاعدت التوترات بين ترامب ومنصة التراسل الأسبوع الماضي بعد أن بدأت تويتر في وسم بعض تغريداته بتدقيق للحقائق. وردّ ترامب بأمر تنفيذي يهدد بتقليص بعض الحمايات القانونية التي تتمتع بها شركات التواصل الاجتماعي.,gpt,Non-biased,,
69,"In the months that followed, all independent polling has found the American mainstream not only blames Trump and his party for the shutdown, but also does not want to spend billions of taxpayer dollars on an ineffective and unnecessary border wall.",Biased,في الأشهر التي تلت، وجدت جميع استطلاعات الرأي المستقلة أن الرأي العام الأمريكي السائد لا يحمّل ترامب وحزبه مسؤولية الإغلاق فحسب، بل لا يريد أيضًا إنفاق مليارات الدولارات من أموال دافعي الضرائب على جدار حدودي غير فعال وغير ضروري.,gpt,Biased,,
71,"What this means is that in these particular countries, local law enforcement agree to not enforce anti-gun laws, especially dangerous radical ones like confiscation, bans, mandatory registration, and limiting the size of magazines.",Biased,ما يعنيه هذا هو أنه في هذه البلدان تحديدًا، توافق جهات إنفاذ القانون المحلية على عدم تطبيق قوانين مكافحة الأسلحة، وخاصةً القوانين الراديكالية الخطيرة مثل المصادرة، والحظر، والتسجيل الإلزامي، وتقييد سعة المخازن.,gpt,Biased,,
72,Democrats Push Pork for Planned Parenthood in Coronavirus Package,Biased,الديمقراطيون يدفعون بتمويلٍ زائدٍ لصالح منظمة بلانِد بَرِنتهود ضمن حزمة فيروس كورونا,gpt,Biased,,
73,"Violence against women has plagued Mexico for years and the many killings of women drew international attention when they spiked in the 1990s, about the time of the signing of the North American Free Trade Agreement and of an increase in Juarez of manufacturing plants known as maquiladoras.",Non-biased,لقد ابتليت المكسيك بالعنف ضد النساء لسنوات، وقد استرعت عمليات قتل النساء الكثيرة الانتباه الدولي عندما ارتفعت في تسعينيات القرن العشرين، في الوقت تقريبًا الذي تم فيه توقيع اتفاقية التجارة الحرة لأمريكا الشمالية وحدثت زيادة في خواريز في المصانع التصنيعية المعروفة باسم الماكيلادوراس.,gpt,Biased,,
74,"But the Democratic majority in the House has already passed sweeping gun legislation, in addition to many other measures.",Non-biased,لكن الأغلبية الديمقراطية في مجلس النواب قد أقرت بالفعل تشريعًا واسع النطاق بشأن الأسلحة، بالإضافة إلى العديد من التدابير الأخرى.,gpt,Non-biased,,
75,"If Trump’s actions threatened to turn the culture war into an active shooting war, that would just be collateral damage on the road to his political recovery.",Biased,"""إذا كانت أفعال ترامب قد هددت بتحويل الحرب الثقافية إلى حرب إطلاق نار فعلية، فإن ذلك لن يكون سوى ضرر جانبي على طريق تعافيه السياسي.""",gpt,Biased,,
76,"Few could have anticipated that the historic release of the first image of a black hole would devolve into a public spectacle of sexist outrage — though such are the times we live in, in which literally every news item is picked apart by reactionaries.",Biased,قلّما كان أحد ليتوقّع أن يتحوّل الإصدار التاريخي لأول صورة لثقب أسود إلى عرضٍ علنيّ من السخط الذكوري — وإن كانت هذه هي الأزمان التي نعيش فيها، حيث تُفكَّك حرفيًا كلُّ مادةٍ إخبارية على أيدي الرجعيين.,gpt,Biased,,
78,The astute observer will note that China is not exactly eager to take in large numbers of migrants or refugees from beyond its borders.,Biased,سوف يلاحظ المراقب الفطن أن الصين ليست متحمسة تمامًا لاستقبال أعداد كبيرة من المهاجرين أو اللاجئين من خارج حدودها.,gpt,Biased,,
79,"Although he didn’t seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google’s climate change conference by way of private jets and mega yachts.",Non-biased,على الرغم من أنه لم يبدُ أنه يوجّه تعليقاته إلى أي شخص بعينه، فإن العديد من المشاهير الذين يعتبرون أنفسهم ناشطين في مجال مكافحة تغيّر المناخ لم يغيّروا أنماط حياتهم المتمثلة في استخدام الطائرات الخاصة للتنقل إلى التزاماتهم حول العالم؛ فعلى سبيل المثال، تعرّض كلٌّ من ليوناردو دي كابريو وكاتي بيري وأورلاندو بلوم لانتقادات في عام 2019 عندما كانوا من بين النجوم الكبار الذين حضروا مؤتمر غوغل حول تغيّر المناخ عبر طائرات خاصة ويخوت فاخرة ضخمة.,gpt,Biased,,
80,"But the president kept his word when it came to the Court. It’s still early in the Trump era, of course, and we really have no idea how the residual political effects of our acute partisan battles or investigations or ugly rhetoric or the often-incompetent presidency will manifest in the long term.",Biased,لكن الرئيس أوفى بوعده عندما تعلق الأمر بالمحكمة. وما زال الوقت مبكرًا في عهد ترامب، بالطبع، وليس لدينا حقًا أي فكرة عن الكيفية التي ستتجلى بها الآثار السياسية المتبقية لمعركتنا الحزبية الحادة أو التحقيقات أو الخطاب القبيح أو الرئاسة التي اتسمت في كثير من الأحيان بعدم الكفاءة على المدى الطويل.,gpt,Biased,,
81,"Warren has laid out a series of proposals including ones to end college debt, create universal child care and fight the opioid epidemic that she says she’d fund by taxing the mega wealthy through a $2.75 trillion tax on American households making more than $50 million annually.",Non-biased,وضعت وارن سلسلة من المقترحات، بما في ذلك مقترحات لإنهاء ديون الدراسة الجامعية، وإنشاء رعاية شاملة للأطفال، ومكافحة وباء المواد الأفيونية، وهي تقول إنها ستمولها بفرض ضرائب على الأثرياء للغاية من خلال ضريبة بقيمة 2.75 تريليون دولار على الأسر الأمريكية التي يتجاوز دخلها السنوي 50 مليون دولار.,gpt,Non-biased,,
82,"I get that the media really want to do some bullcrap horse-race point-scoring partisan sniping right now. But these are actually important questions. And “gotcha” reporting may get you butt-slapped by your fellow reporters at the bar, but it’s actually really dangerous.",Biased,أفهم أن وسائل الإعلام تريد حقًا الآن أن تمارس بعض الهراء من نوع سباق الخيل وتسجيل النقاط والطعان الحزبي. لكن هذه في الواقع أسئلة مهمة. وقد يمنحك هذا النوع من التقارير القائمة على “الإيقاع في الفخ” تصفيقًا من زملائك الصحفيين في الحانة، لكنه في الحقيقة خطير جدًا.,gpt,Biased,,
83,"We used to think of interracial marriage as a sign of social progress. Now, thanks to The New York Times, we know it’s just another sinister tool of white supremacy.",Biased,كنا نعتبر الزواج بين الأعراق علامة على التقدم الاجتماعي. أما الآن، وبفضل صحيفة نيويورك تايمز، فنحن نعلم أنه ليس سوى أداة خبيثة أخرى من أدوات تفوق العرق الأبيض.,gpt,Biased,,
84,"Protecting pregnant women, new mothers and children is about more than scoring political points with anti-choice legislation.",Biased,إن حماية النساء الحوامل والأمهات الجدد والأطفال لا تتعلق فقط بكسب نقاط سياسية من خلال تشريعات مناهضة لحق الاختيار.,gpt,Biased,,
88,"In March, President Trump signed an executive order closing the southern border to stop the spread of the virus from undocumented immigrants who are possibly infected.",Non-biased,في مارس، وقّع الرئيس ترامب أمرًا تنفيذيًا بإغلاق الحدود الجنوبية لوقف انتشار الفيروس من المهاجرين غير الموثقين الذين قد يكونون مصابين.,gpt,Biased,,
89,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.,Non-biased,تتحرك الرابطة الوطنية لهوكي السيدات بسرعة للتوسع إلى تورونتو ومونتريال بعد انهيار منافستها الكندية.,gpt,Non-biased,,
90,"Authoritarianism experts who worried about Trump’s tendencies during his campaign and his first years in office are now sounding fresh alarms following the clearing of a park adjacent to the White House on Monday using gas, flash-bang grenades, pepper pellets and other aggressive tactics ― all so he could stand in front of a church he does not attend and be photographed holding a Bible.",Biased,خبراء الاستبداد الذين كانوا قلقين بشأن نزعات ترامب خلال حملته الانتخابية وفي سنواته الأولى في المنصب يطلقون الآن تحذيرات جديدة عقب إخلاء حديقة مجاورة للبيت الأبيض يوم الاثنين باستخدام الغاز وقنابل الصوت والرصاصات الفلفلية وغيرها من الأساليب العدوانية ــ كل ذلك لكي يتمكن من الوقوف أمام كنيسة لا يرتادها وأن تُلتقط له صورة وهو يحمل كتابًا مقدسًا.,gpt,Biased,,
93,The United Nations Humanitarian Affairs office warned on Monday that nearly a million Syrian civilians from northwest Idlib province had been displaced in a Russia-backed offensive there by dictator Bashar al-Assad that began in December.,Non-biased,حذّر مكتب الشؤون الإنسانية التابع للأمم المتحدة يوم الاثنين من أن ما يقرب من مليون مدني سوري من محافظة إدلب شمال غرب البلاد قد نزحوا في هجوم مدعوم من روسيا هناك شنه الديكتاتور بشار الأسد وبدأ في ديسمبر.,gpt,Biased,,
94,"There was a point a few years ago at which some GOP officials, fearing a backlash in response to the “war on women,” pretended to be pro-choice and used highly deceptive rhetoric about contraception as a way to improve their electoral prospects.",Biased,كان هناك وقت قبل بضع سنوات، خشي فيه بعض مسؤولي الحزب الجمهوري من ردّ فعل عنيف تجاه «الحرب على النساء»، فتظاهروا بأنهم مؤيدون لحق الاختيار، واستخدموا خطابًا مضللًا للغاية بشأن وسائل منع الحمل كوسيلة لتحسين فرصهم الانتخابية.,gpt,Biased,,
95,"In Australia, record high temperatures and drought exacerbated by the climate crisis have ignited blazes that have killed more than two dozen people and destroyed 2,000 homes since September.",Non-biased,في أستراليا، أدت درجات الحرارة القياسية المرتفعة والجفاف، اللذان تفاقما بسبب أزمة المناخ، إلى اندلاع حرائق أودت بحياة أكثر من عشرين شخصًا ودمرت 2000 منزل منذ سبتمبر.,gpt,Non-biased,,
96,"Next came the sob stories. Those student loans are suffocating a generation, the candidates suggested. After all, “40 million of us who can’t start a family,” the diaper-changing daddy Swalwell contradictorily proclaimed, adding that they “Can’t take a good idea and start a business and can’t buy our first home.”",Biased,ثم جاءت قصص الشكوى. اقترح المرشحون أن قروض الطلاب هذه تخنق جيلًا بأكمله. ففي النهاية، «40 مليونًا منا لا يستطيعون تكوين أسرة»، أعلن سوولويل، الأب الذي يغيّر الحفاضات، على نحو متناقض، مضيفًا أنهم «لا يستطيعون أخذ فكرة جيدة وبدء مشروع تجاري، ولا يستطيعون شراء منزلنا الأول».,gpt,Biased,,
98,Drivers in Ireland will be forced to buy electric vehicles within ten years according to a new law by the left-wing government in Dublin.,Biased,سيُجبر السائقون في أيرلندا على شراء سيارات كهربائية خلال عشر سنوات وفقًا لقانون جديد من الحكومة اليسارية في دبلن.,gpt,Biased,,
99,This would be the same Taliban that gleefully murders young women for the crime of going to school and regards democracy as a crime against Islam punishable by death.,Biased,سيكون هذا هو نفس طالبان التي تقتل الشابات بفرح لذنب ذهابهن إلى المدرسة، وتعتبر الديمقراطية جريمةً ضد الإسلام يُعاقَب عليها بالإعدام.,gpt,Biased,,
100,"Democrats have been nervous about pitching higher taxes, although a number have said they would reverse some of President Trump’s 2017 tax cuts.",Non-biased,كان الديمقراطيون مترددين في طرح فكرة زيادة الضرائب، رغم أن عددًا منهم قالوا إنهم سيعكسون بعض التخفيضات الضريبية التي أقرها الرئيس ترامب في عام 2017.,gpt,Non-biased,,
102,"Republicans will claim that they prioritize pro-life policies, and democrats will keep abortion sacrosanct.",Biased,سيزعم الجمهوريون أنهم يعطون الأولوية للسياسات المؤيدة للحياة، وسيواصل الديمقراطيون اعتبار الإجهاض أمرًا مقدسًا.,gpt,Biased,,
103,"Some of the local governments choosing to accept refugees voted heavily in favor of Trump in 2016, after an election campaign in which he vowed to clamp down on immigration and the flow of refugees — particularly Muslim refugees.",Non-biased,بعض الحكومات المحلية التي اختارت قبول اللاجئين صوّتت بأغلبية كبيرة لصالح ترامب في عام 2016، بعد حملة انتخابية تعهّد فيها بتشديد القيود على الهجرة وتدفق اللاجئين — ولا سيما اللاجئين المسلمين.,gpt,Non-biased,,
104,"Of course, the demands of tolerance are not universal. The strong gods are still suppressed and exiled, and the heretic-hunting inquisitors of diversity have become more paranoid and vindictive in triumph.",Biased,بالطبع، ليست متطلبات التسامح عالمية. فما زالت الآلهة القوية مكبوتة ومنفية، وقد أصبح محقّقو التنوع الذين يطاردون الزنادقة أكثر جنونًا بالارتياب وأكثر نزعةً إلى الانتقام في لحظة النصر.,gpt,Biased,,
105,"Warren laid out that she was going to pay for the plan to cancel student debt, which would cost $1.25 trillion over the next decade, by an “Ultra-Millionaire Tax,"" which is a 2% annual levy that she wants to impose of 75,000 American families with $50 million or more in wealth.",Non-biased,"أوضحت وارن أنها ستدفع تكلفة خطة إلغاء ديون الطلاب، التي ستكلف 1.25 تريليون دولار على مدى العقد المقبل، من خلال «ضريبة على أصحاب الملايين الفائقين»، وهي ضريبة سنوية بنسبة 2% تريد فرضها على 75,000 أسرة أمريكية تمتلك ثروة تبلغ 50 مليون دولار أو أكثر.",gpt,Non-biased,,
106,"More than 400 women have applied to attend a candidate training session this weekend in Washington hosted by Emily’s List, an organization that works to elect women who support abortion rights, said spokeswoman Tonya Williams.",Non-biased,"قالت المتحدثة باسم المنظمة تونيا ويليامز إن أكثر من 400 امرأة تقدمن لحضور جلسة تدريب للمرشحات هذا الأسبوع في واشنطن تستضيفها منظمة ""إميليز ليست""، وهي منظمة تعمل على انتخاب نساء يدعمن حقوق الإجهاض.",gpt,Non-biased,,
108,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. ,Non-biased,تمت الموافقة على خمسة من أصل ثمانية مشاريع قوانين للسيطرة على الأسلحة أيدها الحاكم الديمقراطي رالف نورثام في كلا مجلسي الجمعية العامة، وستُحال إلى نورثام للتوقيع عليها.,gpt,Non-biased,,
109,A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.,Biased,يكشف تقرير جديد أن قانون الضرائب الذي أقرّه الحزب الجمهوري في عام 2017 كان مليئًا بتضارب المصالح الهائل من جانب مشرّعين جمهوريين أثرياء استفادوا منذ ذلك الحين بشكل كبير.,gpt,Biased,,
112,"Trump on Sunday retweeted a former Republican congressional candidate’s tweet that was critical of comments Fauci made in a CNN interview and contained a call for his firing. Fauci, 79, has been director of the National Institute of Allergy and Infectious Diseases since 1984.",Non-biased,أعاد ترامب يوم الأحد تغريد تغريدة لمرشح جمهوري سابق للكونغرس كانت تنتقد التعليقات التي أدلى بها فوسي في مقابلة مع شبكة CNN وتضمنت دعوة إلى إقالته. ويشغل فوسي، البالغ من العمر 79 عامًا، منصب مدير المعهد الوطني للحساسية والأمراض المعدية منذ عام 1984.,gpt,Non-biased,,
113,Facebook is banning white nationalism and white supremacy from its social network following criticism that it had not done enough to eliminate hate speech on its platform.,Non-biased,تقوم فيسبوك بحظر القومية البيضاء والتفوق الأبيض من شبكتها الاجتماعية، وذلك عقب انتقادات بأنها لم تفعل ما يكفي للقضاء على خطاب الكراهية على منصتها.,gpt,Non-biased,,
114,"All of which serves as an important reminder: the president isn’t just ignoring scientists and related policy experts; he’s also ignoring his own administration that issued a related report, noting that climate change is a global security threat.",Non-biased,كل ذلك يُعد تذكيرًا مهمًا: فالرئيس لا يتجاهل العلماء وخبراء السياسات المعنيين فحسب؛ بل يتجاهل أيضًا إدارته نفسها التي أصدرت تقريرًا ذا صلة، مشيرةً إلى أن تغيّر المناخ يشكّل تهديدًا للأمن العالمي.,gpt,Biased,,
115,"While many women, and the men who love them, are well aware that, spurred on by the Vatican, United States Conference of Catholic Bishops (USCCB) and the so-called personhood movement, Republicans are working feverishly to eradicate women’s reproductive rights.",Biased,بينما تدرك كثير من النساء، والرجال الذين يحبونهن، جيدًا أن الجمهوريين، مدفوعين من الفاتيكان ومؤتمر الأساقفة الكاثوليك في الولايات المتحدة (USCCB) وما يُسمّى بحركة الشخصية القانونية، يعملون بحماسة شديدة على القضاء على الحقوق الإنجابية للنساء.,gpt,Biased,,
116,"While his supporters have included many strains of nationalism and populism, he did run as a Republican, and this will hopefully work in his favor. Many Americans are hopeful, excited, and looking forward to a Trump presidency. Here are some of the reasons why.",Biased,بينما شملت الفئات التي دعمته العديد من تيارات القومية والشعبوية، فقد ترشح بالفعل بوصفه جمهوريًا، ونأمل أن يصبّ ذلك في مصلحته. كثير من الأمريكيين متفائلون ومتحمسون ويتطلعون إلى رئاسة ترامب. فيما يلي بعض الأسباب التي تفسر ذلك.,gpt,Biased,,
117,"It’s the golden age of women in science, technology, engineering and mathematics.",Biased,إنه العصر الذهبي للنساء في مجالات العلوم والتكنولوجيا والهندسة والرياضيات.,gpt,Biased,,
119,"Sen. Bernie Sanders leads the Democratic field three weeks ahead of Caucus Day in Iowa – narrowly overtaking his closest competitors, who remain locked in a tight contest just behind him.",Non-biased,يتصدر السيناتور بيرني ساندرز السباق الديمقراطي قبل ثلاثة أسابيع من يوم التجمعات الانتخابية في آيوا، متقدماً بفارق ضئيل على أقرب منافسيه، الذين ما زالوا في منافسة محتدمة تليَه مباشرة.,gpt,Non-biased,,
120,"In a part of the country where the rules about who can access abortion care vary dramatically from state to state, the COVID-19 pandemic has sewn another layer of confusion.",Biased,في جزء من البلاد حيث تختلف القواعد المتعلقة بمن يمكنه الحصول على رعاية الإجهاض اختلافًا كبيرًا من ولاية إلى أخرى، أضافت جائحة كوفيد-19 طبقة أخرى من الارتباك.,gpt,Non-biased,,
121,"The right-wing media personality, who claimed the 2012 Sandy Hook massacre was a hoax, was sued by the parent of a young boy slain in the attack.",Non-biased,رفع أحد الوالدين دعوى قضائية ضد الشخصية الإعلامية اليمينية، التي زعمت أن مجزرة ساندي هوك عام 2012 كانت خدعة، وذلك بعد مقتل ابنه الصغير في الهجوم.,gpt,Non-biased,,
122,"That Sanders’ proposal lacks any sort of means-testing requirement makes it clear that he believes this is something all people deserve, but it’s unclear why, or how that’s a worthwhile investment given that it will be allocated toward those who are relatively rich (or could have been relatively rich had they not gotten a useless master’s degree that doesn’t translate into higher earnings). ",Biased,إن غياب أي شرط لاختبار الدخل في اقتراح ساندرز يجعل من الواضح أنه يعتقد أن هذا أمر يستحقه جميع الناس، لكن من غير الواضح لماذا، أو كيف يُعد ذلك استثمارًا مجديًا بالنظر إلى أنه سيُخصَّص لمن هم نسبيًا ميسورو الحال (أو كان يمكن أن يكونوا ميسوري الحال نسبيًا لو لم يحصلوا على درجة ماجستير عديمة الفائدة لا تترجم إلى أرباح أعلى).,gpt,Biased,,
123,"Northam, who is leading the push for stronger gun laws in his state, said he wants to avoid a repeat of violence that erupted at a 2017 white supremacist rally in Charlottesville, when a march by white nationalists erupted and led to the death of a counterprotester.",Non-biased,قال نورثام، الذي يقود الجهود الرامية إلى فرض قوانين أكثر صرامة بشأن الأسلحة في ولايته، إنه يريد تجنب تكرار أعمال العنف التي اندلعت خلال تجمع للمتفوقين البيض في شارلوتسفيل عام 2017، عندما تحولت مسيرة للقوميين البيض إلى أعمال عنف وأدت إلى مقتل أحد المحتجين المضادين.,gpt,Non-biased,,
124,"In fact, Clinton’s plan is so inept in its ability to understand how college funding even operates, and so atrociously far from providing any adequate solutions to a complex problem, that it sounds like she was channeling the Simpsons.",Biased,في الواقع، فإن خطة كلينتون عاجزة إلى هذا الحد في قدرتها على فهم حتى كيفية عمل تمويل الجامعات، وبعيدة على نحو فظيع عن تقديم أي حلول ملائمة لمشكلة معقدة، لدرجة أنها تبدو وكأنها كانت تستحضر عائلة سمبسون.,gpt,Biased,,
125,The justices threw out a challenge from gun rights groups.,Biased,رفض القضاة طعنًا من جماعات حقوق السلاح.,gpt,Non-biased,,
126,"Despite repeated setbacks, Smart made history as the first American to reach No. 1 in the world in saber fencing and later was on the silver-medal winning U.S. team in the 2008 Olympics.",Non-biased,على الرغم من النكسات المتكررة، صنع سمارت التاريخ بصفته أول أمريكي يصل إلى المركز الأول عالميًا في رياضة سيف المبارزة، وكان لاحقًا ضمن الفريق الأمريكي الفائز بالميدالية الفضية في أولمبياد 2008.,gpt,Non-biased,,
127,"Now 25, he sought asylum after fleeing gangs trying to recruit him in his native Honduras, a place where saying “no” can mean execution.",Non-biased,الآن وقد بلغ الخامسة والعشرين، طلب اللجوء بعد فراره من العصابات التي كانت تحاول تجنيده في وطنه هندوراس، حيث قد تعني كلمة «لا» الإعدام.,gpt,Biased,,
128,"And yes, there’s something in the Fox News DNA over the years that has meant that women political opponents spark a deeper sense of outrage and hate.",Biased,"""ونعم، هناك شيء ما في حمض فوكس نيوز النووي على مرّ السنين جعل الخصوم السياسيين من النساء يثيرون شعورًا أعمق بالغضب والكراهية.""",gpt,Biased,,
129,"Few would consider a global pandemic reason to celebrate. In fact, many people are suffering, such as those out of work or others who were near retirement and now thrust back into a grueling role. But the pandemic does provide all of us an opportunity to rethink our life philosophies, and reorder our priorities.",Non-biased,قلةٌ من الناس ستعتبر جائحةً عالمية سببًا للاحتفال. في الواقع، يعاني كثيرٌ من الناس، مثل أولئك الذين فقدوا أعمالهم أو آخرين كانوا على وشك التقاعد ثم أُعيدوا الآن إلى دورٍ شاق. لكن الجائحة تتيح لنا جميعًا فرصةً لإعادة التفكير في فلسفاتنا الحياتية، وإعادة ترتيب أولوياتنا.,gpt,Biased,,
130,"Global cooperation is key to ensuring the security of 5G networks, cyber security officials said on Thursday at a meeting in Prague aimed at hammering out how to combat threats as nations begin rolling out next-generation telecoms equipment.",Non-biased,قال مسؤولون في مجال الأمن السيبراني يوم الخميس في اجتماع عُقد في براغ بهدف التوصل إلى كيفية مكافحة التهديدات مع بدء الدول في نشر معدات الاتصالات من الجيل التالي، إن التعاون العالمي هو المفتاح لضمان أمن شبكات الجيل الخامس.,gpt,Non-biased,,
