"sentence_id","text","true_label","source"
"31","نشرت الأرصاد الجوية تحذيراً من أمطار غزيرة متوقعة في المناطق الشمالية.","Non-biased","Manual Collection"
"32","أعلن المتحدث الرسمي أن الحكومة تدرس مقترحات المعارضة بشأن الإصلاح الاقتصادي.","Non-biased","Manual Collection"
"33","أعلنت وزارة الداخلية المصرية توقيف عدد من الأشخاص على خلفية أحداث شهدتها مدينة الإسكندرية.","Non-biased","Manual Collection"
"34","أظهرت بيانات الأمم المتحدة ارتفاع عدد النازحين من جنوب السودان خلال الأسبوع الماضي.","Non-biased","Manual Collection"
"35","عقد مجلس الأمن الدولي جلسة لمناقشة التطورات الأخيرة في النزاع بين أرمينيا وأذربيجان.","Non-biased","Manual Collection"
"36","أكدت وزارة الصحة الفلسطينية تسجيل إصابات جديدة جراء اشتباكات وقعت في نابلس.","Non-biased","Manual Collection"
"37","أعلنت الحكومة الفرنسية فرض حظر تجول مؤقت في بعض أحياء باريس بعد اضطرابات ليلية.","Non-biased","Manual Collection"
"38","وقّعت روسيا وأوكرانيا اتفاقاً أولياً لتبادل الأسرى بوساطة تركية.","Non-biased","Manual Collection"
"39","سجّلت الهيئة العليا المستقلة للانتخابات في تونس مشاركة بلغت 61% في الجولة الأولى.","Non-biased","Manual Collection"
"40","أفادت السلطات البرازيلية ببدء تحقيق رسمي في مزاعم تتعلق بسوء استخدام الأموال العامة.","Non-biased","Manual Collection"
"41","ما تعرّض له ميناء المكلا من استهداف غير مسؤول، إلى جانب التطورات السياسية والأمنية المرتبطة بالقرارات الانفرادية الصادرة عن رئيس مجلس القيادة الرئاسي.","Biased","سكاي نيوز"
"42","غارة سعودية غاشمة على المكلا، ومصدر بالرئاسي: قرار العليمي فردي.","Biased","سكاي نيوز"
"43","في ظل تعثّر التسويات وتغلغل الإسلاميين داخل الجيش، ما يشكّل معضلة استراتيجية.","Biased","سكاي نيوز"
"44","بعد سقوط نظام الإخوان الإرهابي ""الحركة الإسلامية السودانية"" البائد بقيادة الرئيس المعزول عمر البشير في ثورة شعبية عام 2019.","Biased","سكاي نيوز"
"45","قضية اختطاف الدولة السودانية بواسطة الحركات الإسلامية المتطرفة ليست ادعاءً، بل واقع واضح لا يمكن حجبه.","Biased","سكاي نيوز"
"46","وفي ضوء هذه الوقائع، يبدو أن خطاب الإنكار لم يعد كافيًا لحجب ما يوصف بأنه ""تشابك عضوي"" بين قيادة الجيش المنقلبة والحركة الإسلامية المتطرفة.","Biased","سكاي نيوز"
"47","دولة قطر تستنكر ما ورد في بيان دول الحصار الظالم الأربع الصادر في السعودية من مزاعم واتهامات ضدها.","Biased","الجزيرة"
"48","فرضت دول الحصار على قطر ""إجراءات عقابية""؛ بزعم دعمها للإرهاب، وهذا غير صحيح.","Biased","الاناضول"
"49","أكد الوزير أن الإصلاحات تسير وفق الخطة المرسومة، دون أن يقدم أي أرقام تدعم تصريحاته.","Biased","Manual Collection"
"50","رفض المتحدث الرسمي التعليق على الاتهامات الموجهة للحكومة بشأن إدارة الأزمة الصحية.","Biased","Manual Collection"
"51","جاء إعلان الحكومة عن خفض الدعم بعد أسابيع من نفيها المتكرر لأي نية في اتخاذ هذه الخطوة.","Biased","Manual Collection"
"52","يبدو أن الوزير تجاهل في تصريحاته المخاوف المتزايدة حول تأثير القرار على الفئات الأكثر هشاشة.","Biased","Manual Collection"
"53","أصر الرئيس على وصف السياسات بالناجحة رغم المؤشرات الاقتصادية التي لا تدعم هذا التقييم.","Biased","Manual Collection"
"54","فشل الاجتماع الطارئ في التوصل إلى حلول ملموسة لمعالجة الأزمة التي دخلت أسبوعها الخامس.","Biased","Manual Collection"
"55","زعمت الحكومة أن ارتفاع الأسعار مؤقت ومرتبط بعوامل خارجية، متجاهلة دور السياسات المحلية.","Biased","Manual Collection"
"56","جاء القرار الجديد بعد نفي الحكومة المتكرر نيتها فرض رسوم إضافية.","Biased","Manual Collection"
"57","أصر المسؤول على تحسن الخدمات، متجاهلاً الشكاوى المتزايدة من المواطنين.","Biased","Manual Collection"
"58","رفضت الجهة المعنية التعليق على أسباب تأجيل المشروع للمرة الثالثة.","Biased","Manual Collection"
"59","أعلن الوزير الإجراءات الجديدة، دون أن يوضح آلية تمويلها أو موعد تنفيذها.","Biased","Manual Collection"
"60","فشل الاجتماع في التوصل إلى اتفاق رغم الوعود السابقة بقرب الحل.","Biased","Manual Collection"
"61","تحدث المسؤول عن الإنجازات، لكنه تفادى الإجابة عن أسئلة الدين العام.","Biased","Manual Collection"
"62","زعم الوزير أن الإنفاق تحت السيطرة، رغم البيانات التي أظهرت زيادة العجز.","Biased","Manual Collection"
"63","حاول المسؤول إظهار الاجتماع كنجاح دبلوماسي، رغم غياب أي اتفاق معلن.","Biased","Manual Collection"
"64","أعلن المتحدث استمرار الدعم، دون أن يوضح الفئات التي ستشمله فعلياً.","Biased","Manual Collection"
"65","أصر وزير المالية الأرجنتيني على سلامة الإجراءات، متجاهلاً التحذيرات القانونية الصادرة مؤخراً من المحكمة العليا.","Biased","Manual Collection"
"66","بدا وزير الاقتصاد اللبناني واثقاً وهو يعلن نجاح خطة التعافي، رغم أن نتائجها ما زالت غائبة عن المواطنين.","Biased","Manual Collection"
"67","سيلاحظ المتابع العادي أن وعود الحكومة البريطانية بشأن خفض الهجرة تشبه كثيراً ما قيل في الأعوام الماضية.","Biased","Manual Collection"
"68","اختارت الحكومة الألمانية الحديث عن المكاسب المتوقعة للإصلاح الضريبي، متجنبةً الخسائر التي بدأت تظهر بالفعل لدى الشركات الصغيرة.","Biased","Manual Collection"
"69","من اللافت أن المسؤولين في بغداد احتفلوا بمشروع المترو قبل تشغيله فعلياً ولو ليوم واحد.","Biased","Manual Collection"
"70","بينما كان الرئيس التركي يشيد بالاستقرار الاقتصادي، كانت الأسواق تسجل تراجعاً جديداً لليرة.","Biased","Manual Collection"
"71","أمضى وزير الصحة الفرنسي مؤتمره في تعداد الإنجازات، تاركاً الأسئلة الأكثر إلحاحاً حول نقص الكوادر بلا جواب.","Biased","Manual Collection"
"72","قد يتساءل المواطنون لماذا جاء قرار رفع أسعار الوقود في الأردن الآن، بعد أشهر من الإنكار المتواصل.","Biased","Manual Collection"
"73","تحدث البيان الرسمي السوداني مطولاً عن الشفافية، من دون نشر الأرقام الأساسية للموازنة.","Biased","Manual Collection"
"74","بدا المتحدث باسم الحكومة الإسرائيلية منزعجاً من الانتقادات أكثر من انشغاله بمعالجة أسبابها.","Biased","Manual Collection"
"75","احتفى الخطاب الحكومي التونسي بفرص العمل الجديدة، ناسياً الوظائف التي فُقدت هذا العام.","Biased","Manual Collection"
"76","ليس واضحاً كيف اعتُبر اجتماع جنيف ناجحاً، ما دام لم ينتج عنه أي اتفاق معلن.","Biased","Manual Collection"
"77","كرر وزير الداخلية الباكستاني أن الأمور تحت السيطرة، وهي العبارة ذاتها التي سبقت الأزمات السابقة.","Biased","Manual Collection"
"78","في توقيت مثير، أُعلن القرار الفرنسي بحل البرلمان بعد ساعات من تصاعد الجدل الشعبي حول الملف.","Biased","Manual Collection"
"79","اختار المتحدث باسم البيت الأبيض مهاجمة المنتقدين، وهي طريقة مألوفة عند غياب الإجابات المقنعة.","Biased","Manual Collection"
"80","إذا كان الوضع الأمني في هايتي مطمئناً كما قيل، فلماذا تتكرر الإجراءات الاستثنائية بهذا الشكل؟","Biased","Manual Collection"
